Время,Координата,Плотность,Сера
0,0,805,0.15
0,22.2222,805,0.15
0,44.4444,805,0.15
0,66.6667,805,0.15
0,88.8889,805,0.15
0,111.111,805,0.15
0,133.333,805,0.15
0,155.556,805,0.15
0,177.778,805,0.15
0,200,805,0.15
8.96711,0,880,0.2
8.96711,22.2222,805,0.15
8.96711,44.4444,805,0.15
8.96711,66.6667,805,0.15
8.96711,88.8889,805,0.15
8.96711,111.111,805,0.15
8.96711,133.333,805,0.15
8.96711,155.556,805,0.15
8.96711,177.778,805,0.15
8.96711,200,805,0.15
17.674,0,870,0.1
17.674,22.2222,880,0.2
17.674,44.4444,805,0.15
17.674,66.6667,805,0.15
17.674,88.8889,805,0.15
17.674,111.111,805,0.15
17.674,133.333,805,0.15
17.674,155.556,805,0.15
17.674,177.778,805,0.15
17.674,200,805,0.15
25.6543,0,870,0.1
25.6543,22.2222,870,0.1
25.6543,44.4444,880,0.2
25.6543,66.6667,805,0.15
25.6543,88.8889,805,0.15
25.6543,111.111,805,0.15
25.6543,133.333,805,0.15
25.6543,155.556,805,0.15
25.6543,177.778,805,0.15
25.6543,200,805,0.15
33.9743,0,870,0.1
33.9743,22.2222,870,0.1
33.9743,44.4444,870,0.1
33.9743,66.6667,880,0.2
33.9743,88.8889,805,0.15
33.9743,111.111,805,0.15
33.9743,133.333,805,0.15
33.9743,155.556,805,0.15
33.9743,177.778,805,0.15
33.9743,200,805,0.15
42.2943,0,880,0.25
42.2943,22.2222,870,0.1
42.2943,44.4444,870,0.1
42.2943,66.6667,870,0.1
42.2943,88.8889,880,0.2
42.2943,111.111,805,0.15
42.2943,133.333,805,0.15
42.2943,155.556,805,0.15
42.2943,177.778,805,0.15
42.2943,200,805,0.15
50.6143,0,880,0.25
50.6143,22.2222,880,0.25
50.6143,44.4444,870,0.1
50.6143,66.6667,870,0.1
50.6143,88.8889,870,0.1
50.6143,111.111,880,0.2
50.6143,133.333,805,0.15
50.6143,155.556,805,0.15
50.6143,177.778,805,0.15
50.6143,200,805,0.15
58.9343,0,880,0.25
58.9343,22.2222,880,0.25
58.9343,44.4444,880,0.25
58.9343,66.6667,870,0.1
58.9343,88.8889,870,0.1
58.9343,111.111,870,0.1
58.9343,133.333,880,0.2
58.9343,155.556,805,0.15
58.9343,177.778,805,0.15
58.9343,200,805,0.15
67.2543,0,880,0.25
67.2543,22.2222,880,0.25
67.2543,44.4444,880,0.25
67.2543,66.6667,880,0.25
67.2543,88.8889,870,0.1
67.2543,111.111,870,0.1
67.2543,133.333,870,0.1
67.2543,155.556,880,0.2
67.2543,177.778,805,0.15
67.2543,200,805,0.15
75.5743,0,0,0
75.5743,22.2222,880,0.25
75.5743,44.4444,880,0.25
75.5743,66.6667,880,0.25
75.5743,88.8889,880,0.25
75.5743,111.111,870,0.1
75.5743,133.333,870,0.1
75.5743,155.556,870,0.1
75.5743,177.778,880,0.2
75.5743,200,805,0.15
83.8943,0,0,0
83.8943,22.2222,0,0
83.8943,44.4444,880,0.25
83.8943,66.6667,880,0.25
83.8943,88.8889,880,0.25
83.8943,111.111,880,0.25
83.8943,133.333,870,0.1
83.8943,155.556,870,0.1
83.8943,177.778,870,0.1
83.8943,200,880,0.2
92.2143,0,0,0
92.2143,22.2222,0,0
92.2143,44.4444,0,0
92.2143,66.6667,880,0.25
92.2143,88.8889,880,0.25
92.2143,111.111,880,0.25
92.2143,133.333,880,0.25
92.2143,155.556,870,0.1
92.2143,177.778,870,0.1
92.2143,200,870,0.1
100.534,0,0,0
100.534,22.2222,0,0
100.534,44.4444,0,0
100.534,66.6667,0,0
100.534,88.8889,880,0.25
100.534,111.111,880,0.25
100.534,133.333,880,0.25
100.534,155.556,880,0.25
100.534,177.778,870,0.1
100.534,200,870,0.1
108.854,0,0,0
108.854,22.2222,0,0
108.854,44.4444,0,0
108.854,66.6667,0,0
108.854,88.8889,0,0
108.854,111.111,880,0.25
108.854,133.333,880,0.25
108.854,155.556,880,0.25
108.854,177.778,880,0.25
108.854,200,870,0.1
117.174,0,0,0
117.174,22.2222,0,0
117.174,44.4444,0,0
117.174,66.6667,0,0
117.174,88.8889,0,0
117.174,111.111,0,0
117.174,133.333,880,0.25
117.174,155.556,880,0.25
117.174,177.778,880,0.25
117.174,200,880,0.25
125.494,0,0,0
125.494,22.2222,0,0
125.494,44.4444,0,0
125.494,66.6667,0,0
125.494,88.8889,0,0
125.494,111.111,0,0
125.494,133.333,0,0
125.494,155.556,880,0.25
125.494,177.778,880,0.25
125.494,200,880,0.25
133.814,0,0,0
133.814,22.2222,0,0
133.814,44.4444,0,0
133.814,66.6667,0,0
133.814,88.8889,0,0
133.814,111.111,0,0
133.814,133.333,0,0
133.814,155.556,0,0
133.814,177.778,880,0.25
133.814,200,880,0.25
142.134,0,0,0
142.134,22.2222,0,0
142.134,44.4444,0,0
142.134,66.6667,0,0
142.134,88.8889,0,0
142.134,111.111,0,0
142.134,133.333,0,0
142.134,155.556,0,0
142.134,177.778,0,0
142.134,200,880,0.25
150.454,0,0,0
150.454,22.2222,0,0
150.454,44.4444,0,0
150.454,66.6667,0,0
150.454,88.8889,0,0
150.454,111.111,0,0
150.454,133.333,0,0
150.454,155.556,0,0
